Age,Income,Experience,BuyLaptop
22,30000,1,0
24,32000,1,0
25,35000,2,0
26,37000,2,0
27,39000,3,0
28,40000,3,1
29,42000,4,0
30,45000,5,1
31,47000,5,1
32,50000,6,0
33,52000,6,1
34,55000,7,1
35,60000,7,1
36,62000,8,1
37,65000,9,1
38,68000,10,1
39,70000,11,1
40,73000,12,1
41,76000,13,0
42,78000,14,1
43,80000,15,1
44,82000,16,0
45,85000,17,0
46,87000,18,1
47,90000,19,1
48,92000,20,1
49,95000,21,1
50,98000,22,1
51,100000,23,1
52,102000,24,0
53,104000,25,1
54,106000,26,1
55,108000,27,1
56,110000,28,1
57,112000,29,0
58,114000,30,1
59,116000,31,1
60,118000,32,0
61,120000,33,1
62,122000,34,0
