Age,Salary,Experience,Purchased
60,91506,10,1
28,58135,5,0
47,67835,5,1
52,101595,17,1
54,97959,15,1
20,35615,0,0
41,68027,7,1
41,67124,5,1
42,75111,12,1
54,86001,9,1
38,76725,12,1
24,40333,0,0
25,44554,3,0
49,93877,16,1
42,69774,7,1
24,43003,2,0
35,59916,4,1
60,115798,24,1
23,38025,1,0
45,75156,9,1
56,117355,26,1
51,91817,13,1
28,52997,2,1
57,104660,16,1
34,67666,11,1
25,44696,3,0
30,59716,6,1
44,80268,10,1
55,109688,25,1
27,55297,4,1
41,68023,5,1
20,37315,0,0
31,53643,5,1
39,81817,13,1
29,49146,3,1
53,115713,24,1
21,39847,0,0
39,64846,6,1
25,47262,1,1
54,105303,22,1
55,91145,10,1
47,103935,21,1
32,62937,7,1
43,80179,10,1
35,61039,5,0
55,87908,11,1
60,86304,9,1
41,64799,5,1
51,81067,10,1
56,103581,19,1
46,72388,8,1
42,76651,9,1
23,39112,1,0
41,78890,14,1
32,56896,6,1
37,63935,8,1
55,89556,9,1
25,46772,3,0
51,94470,15,1
30,55596,4,0
49,86205,10,1
51,81961,9,1
23,46383,1,0
40,67771,4,1
53,87220,9,1
31,47613,2,1
35,66633,6,1
58,82943,8,1
57,105683,19,1
33,62447,7,1
45,71215,6,1
24,45824,0,1
24,48488,2,0
42,85602,16,1
30,58100,4,1
59,130766,30,1
55,89597,13,1
28,45553,2,1
29,56409,3,0
41,67025,6,1
36,68032,11,1
47,90422,18,1
28,51691,4,0
48,90407,14,1
27,43542,1,0
43,77726,12,1
22,35453,0,0
33,58984,7,1
55,116158,25,1
29,55778,6,1
31,57706,8,1
41,83845,14,1
35,57271,5,1
22,40244,1,0
49,82628,11,1
32,57364,5,1
37,67446,6,1
54,87452,13,1
36,58949,4,0
58,102939,17,1
